Month,Region,Purpose,Nights
1998 Jan,Sydney,Holiday,2015.4444565
1998 Jan,Sydney,Visiting friends and relatives,1379.2739255
1998 Jan,Sydney,Business,230.0995779
1998 Jan,Sydney,Other reason,118.2381459
1998 Jan,Blue Mountains,Holiday,148.6791925
1998 Jan,Blue Mountains,Visiting friends and relatives,67.7566525
1998 Jan,Blue Mountains,Business,19.1750614
1998 Jan,Blue Mountains,Other reason,0
1998 Jan,Capital Country,Holiday,77.5417715
1998 Jan,Capital Country,Visiting friends and relatives,111.36407
1998 Jan,Capital Country,Business,35.4849934
1998 Jan,Capital Country,Other reason,52.8671738
1998 Jan,Central Coast,Holiday,936.2088158
1998 Jan,Central Coast,Visiting friends and relatives,297.9446879
1998 Jan,Central Coast,Business,0
1998 Jan,Central Coast,Other reason,0
1998 Jan,Central NSW,Holiday,222.6039692
1998 Jan,Central NSW,Visiting friends and relatives,332.3266011
1998 Jan,Central NSW,Business,46.0171778
1998 Jan,Central NSW,Other reason,2.4724007
1998 Jan,Hunter,Holiday,915.5266146
1998 Jan,Hunter,Visiting friends and relatives,361.1611221
1998 Jan,Hunter,Business,18.7536907
1998 Jan,Hunter,Other reason,25.2334072
1998 Jan,New England North West,Holiday,339.0265806
1998 Jan,New England North West,Visiting friends and relatives,219.6736267
1998 Jan,New England North West,Business,29.4388292
1998 Jan,New England North West,Other reason,14.7369957
1998 Jan,North Coast NSW,Holiday,3034.1870125
1998 Jan,North Coast NSW,Visiting friends and relatives,949.3512936
1998 Jan,North Coast NSW,Business,9.0500865
1998 Jan,North Coast NSW,Other reason,9.4754939
1998 Jan,Outback NSW,Holiday,27.1093593
1998 Jan,Outback NSW,Visiting friends and relatives,43.6625313
1998 Jan,Outback NSW,Business,41.6140196
1998 Jan,Outback NSW,Other reason,6.2212569
1998 Jan,Riverina,Holiday,63.3456416
1998 Jan,Riverina,Visiting friends and relatives,194.856385
1998 Jan,Riverina,Business,46.8966267
1998 Jan,Riverina,Other reason,3.833051
1998 Jan,Snowy Mountains,Holiday,257.9666576
1998 Jan,Snowy Mountains,Visiting friends and relatives,15.377391
1998 Jan,Snowy Mountains,Business,0
1998 Jan,Snowy Mountains,Other reason,9.2695001
1998 Jan,South Coast,Holiday,2807.5940068
1998 Jan,South Coast,Visiting friends and relatives,544.7335207
1998 Jan,South Coast,Business,200.6263217
1998 Jan,South Coast,Other reason,16.667523
1998 Jan,The Murray,Holiday,419.4193471
1998 Jan,The Murray,Visiting friends and relatives,142.655884
1998 Jan,The Murray,Business,17.4337273
1998 Jan,The Murray,Other reason,24.6583895
1998 Jan,Melbourne,Holiday,640.5280899
1998 Jan,Melbourne,Visiting friends and relatives,1166.7723764
1998 Jan,Melbourne,Business,193.7793947
1998 Jan,Melbourne,Other reason,21.6427018
1998 Jan,Ballarat,Holiday,46.6653095
1998 Jan,Ballarat,Visiting friends and relatives,67.3322969
1998 Jan,Ballarat,Business,2.4789343
1998 Jan,Ballarat,Other reason,0
1998 Jan,Bendigo Loddon,Holiday,115.3681575
1998 Jan,Bendigo Loddon,Visiting friends and relatives,304.8740316
1998 Jan,Bendigo Loddon,Business,11.625882
1998 Jan,Bendigo Loddon,Other reason,0
1998 Jan,Central Highlands,Holiday,78.8656383
1998 Jan,Central Highlands,Visiting friends and relatives,68.6240736
1998 Jan,Central Highlands,Business,0
1998 Jan,Central Highlands,Other reason,0
1998 Jan,Central Murray,Holiday,278.5022963
1998 Jan,Central Murray,Visiting friends and relatives,78.050959
1998 Jan,Central Murray,Business,3.6295982
1998 Jan,Central Murray,Other reason,0
1998 Jan,Geelong and the Bellarine,Holiday,295.8410848
1998 Jan,Geelong and the Bellarine,Visiting friends and relatives,139.8371724
1998 Jan,Geelong and the Bellarine,Business,2.9126374
1998 Jan,Geelong and the Bellarine,Other reason,0
1998 Jan,Gippsland,Holiday,440.5393311
1998 Jan,Gippsland,Visiting friends and relatives,143.7709685
1998 Jan,Gippsland,Business,43.762958
1998 Jan,Gippsland,Other reason,2.3251764
1998 Jan,Goulburn,Holiday,27.1291485
1998 Jan,Goulburn,Visiting friends and relatives,141.5889001
1998 Jan,Goulburn,Business,5.4443972
1998 Jan,Goulburn,Other reason,31.261328
1998 Jan,Great Ocean Road,Holiday,1459.2360574
1998 Jan,Great Ocean Road,Visiting friends and relatives,181.301635
1998 Jan,Great Ocean Road,Business,0.9073995
1998 Jan,Great Ocean Road,Other reason,12.5506911
1998 Jan,High Country,Holiday,561.4998506
1998 Jan,High Country,Visiting friends and relatives,106.6283627
1998 Jan,High Country,Business,25.7528686
1998 Jan,High Country,Other reason,10.8887946
1998 Jan,Lakes,Holiday,364.3369128
1998 Jan,Lakes,Visiting friends and relatives,121.5988495
1998 Jan,Lakes,Business,3.3620337
1998 Jan,Lakes,Other reason,0
1998 Jan,Macedon,Holiday,2.1301752
1998 Jan,Macedon,Visiting friends and relatives,22.4458975
1998 Jan,Macedon,Business,0
1998 Jan,Macedon,Other reason,0
1998 Jan,Mallee,Holiday,186.00795
1998 Jan,Mallee,Visiting friends and relatives,138.2469574
1998 Jan,Mallee,Business,0
1998 Jan,Mallee,Other reason,7.2591962
1998 Jan,Melbourne East,Holiday,4.331797
